.	RD_PUNC
univ	E
Hablando	N_NNP
de	PSP
una	RD_RDF
amenaza	N_NN
Amped	N_NN
chbcvngxbv	JJ
-mcg	E
n	E
mckxbl	CC
ndupvmb	N_NN
Zghdckylffnbdckvtb	N_NNP
gvbxbdsgb	N_NNP
ihnmjc	N_NNP
kfrdmj	N_NNP
xvnnc	E
xncfmz	E
mgc	N_NN
bbbjbbc	N_NN
k	N_NN
-Sgxj	RD_RDF
j	RD_RDF
j	RD_RDF
hb	N_NNP
ham	N_NN
gm	N_NN
kcj	RD_RDF
h	RD_RDF
n	CC
jxhxj	N_NNP
j	N_NNP
jxhckvj	N_NNP
x	RD_RDF
s	RD_RDF
tp	N_NNP
Se	RD_RDF
onr	RD_RDF
sverder	RD_RDF
sitja	RD_RDF
hvass	N_NN
Acabo	N_NNP
de	PSP
aceptar	RD_RDF
el	RD_RDF
reto	RD_RDF
de	PSP
acondicionamiento	RD_RDF
f	RD_RDF
sico	N_NNP
y	RB_AMN
aument	N_NN
mi	DT
puntuaci	N_NN
n	CC
en	PSP
atletismo	N_NN
Obtener	N_NNP
m	N_NNP
s	RD_RDF
informaci	N_NN
n	CC
acerca	N_NNP
de	N_NNP

Girl-Sacchi	N_NN
Boy-Mucchi	N_NN
panreengla	N_NNP
Hun-Funny	V_VM
bye-shye	RD_ECH
पाक	N_NN
से	PSP
sirji	N_NN
t.T	RD_UNK
vanakam	N_NN
votedo	V_VM
CARD-YE	N_NN
0wner+SANWAL	N_NN
t.T	RD_UNK
Mom-Beta	N_NN
Mom-Beta	N_NN
Indiawaale	N_NNP
papa-beti\	N_NNP
H3	RD_RDF
dedh-litre	JJ

rulesni	NOUN
‪‎bunny	PROPN
galleeki	NOUN
‪‎bunny	PROPN
Correctga	ADV
galleeki	NOUN
supere	ADJ
wordki	NOUN
lifelo	NOUN
realga	ADV
hotelki	NOUN
flipkartlo	NOUN
Bakaraalu	NOUN
timelo	NOUN
templeki	NOUN
templelo	NOUN
fblo	NOUN
lifelo	NOUN
pakistanto	PROPN
matchlo	NOUN
postlani	NOUN
paklo	NOUN
positivega	ADV
cinemalu	NOUN
Skylo	NOUN
moonni	NOUN
postlu	NOUN
postlu	NOUN
booklo	NOUN
boysni	NOUN
friendki	NOUN
heartlo	NOUN
‪‎Add	VERB
yrki	NOUN
numberni	NOUN
cinemaloo	NOUN
storilee	NOUN
weakgaaundhi	VERB

